ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
48,I am a developer by profession,45-54 years old,"Employed, part-time","Hybrid (some remote, some in-person)",Apples,Freelance/contract work,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;Colleague;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Books;Coding sessions (live or recorded);Written-based Online Courses,NA,25,15,System administrator,NA,NA,NA,NA,NA,United States of America,NA,NA,Crystal;Julia;R;Ruby,Crystal;Julia;R;Ruby,Crystal;Julia;R;Ruby,NA,NA,NA,NA,NA,NA,NA,NA,NA,LLVM's Clang,Arduino;Rasberry Pi,NA,Tidyverse,Tidyverse,Tidyverse,Homebrew;Make,Homebrew,Homebrew,Vim,Vim,Vim,Arch;MacOS,Arch;MacOS,NA,NA,NA,Whatsapp;Zoom,Whatsapp;Zoom,Whatsapp;Zoom,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Other (please specify):,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
49,I am a developer by profession,65 years or older,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,More than 50 years,45,"Developer, desktop or enterprise applications",NA,NA,NA,NA,NA,Germany,NA,NA,Delphi;Fortran;SQL,Delphi;SQL,Delphi;SQL,Firebird;Microsoft SQL Server;SQLite,Firebird;Microsoft SQL Server;SQLite,Firebird;Microsoft SQL Server;SQLite,Microsoft Azure,Microsoft Azure,Microsoft Azure,NA,NA,NA,NA,NA,NA,OpenGL,OpenGL,OpenGL,MSBuild,MSBuild,MSBuild,"Rad Studio (Delphi, C++ Builder)","Rad Studio (Delphi, C++ Builder)","Rad Studio (Delphi, C++ Builder)",Windows,Windows,Azure Devops;Confluence;Jira;Redmine;Trello;Wikis,Azure Devops,Azure Devops,Microsoft Teams;Skype;Slack;Whatsapp;Zoom,Microsoft Teams,Microsoft Teams,NA,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
50,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Professional development or self-paced learning from online courses,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Coding sessions (live or recorded);Social Media;How-to videos;Interactive tutorial;Video-based Online Courses;Written-based Online Courses;AI,API document(s) and/or SDK document(s);First-party knowledge base;Traditional public search engine;AI-powered search/dev tool (free);AI-powered search/dev tool (paid),11,4,"Developer, back-end",NA,NA,NA,NA,NA,Germany,NA,NA,Java;JavaScript;SQL,Java;JavaScript;Python,Java;JavaScript,H2;MariaDB;Microsoft SQL Server;MySQL,Oracle;PostgreSQL;Redis,NA,Amazon Web Services (AWS),Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Amazon Web Services (AWS),Angular;Spring Boot,Angular;React;Spring Boot,Angular;Spring Boot,NA,NA,NA,Spring Framework,Apache Kafka;Flutter;Spring Framework,Spring Framework,Docker;Gradle;npm,Docker;Gradle;Kubernetes;npm,Docker;Gradle;npm,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Sublime Text;Visual Studio Code,IntelliJ IDEA;WebStorm,IntelliJ IDEA,Windows,Windows,Jira;Stack Overflow for Teams;Wikis,Jira;Miro;Monday.com;Notion;Obsidian;Stack Overflow for Teams,Jira;Stack Overflow for Teams,Google Meet;Jitsi;Rocketchat;Zoom,Slack;Zoom,Zoom,Bing AI;ChatGPT;Phind,ChatGPT;GitHub Copilot;Phind;Visual Studio Intellicode,ChatGPT;Phind,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Overflow Blog or Podcast;Overflow API,A few times per week,Not sure/can't remember,NA,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Very favorable,Increase productivity;Greater efficiency;Make workload more manageable,Somewhat trust,Neither good or bad at handling complex tasks,Writing code;Documenting code;Testing code;Committing and reviewing code;Search for answers;Generating content or synthetic data,Deployment and monitoring;Predictive analytics,Learning about a codebase;Project planning;Debugging and getting help,,Writing code;Documenting code;Committing and reviewing code;Generating content or synthetic data,Testing code;Search for answers,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Not everyone uses them",Yes,Individual contributor,4,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Amount of technical debt;Number of software tools in use;Showing my contributions,Automated testing;Knowledge sharing community;Continuous integration (CI) and (more often) continuous delivery;Innersource initiative,Hybrid (on-prem and cloud),AI-powered search (paid),Software Development,0,0,0,0,0,0,0,0,0,Appropriate in length,Easy,NA,3
51,"I am not primarily a developer, but I write code sometimes as part of my work/studies",18-24 years old,"Student, full-time",NA,Apples,NA,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow;Social Media;How-to videos;Video-based Online Courses,User guides or README files found in the source repository;Traditional public search engine,6,Less than 1 year,Student,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,Assembly;C#;Java;JavaScript;Python;Rust,Bash/Shell (all shells);C#;Go;Java;JavaScript;Python;Rust;TypeScript,C#;Java;JavaScript;Python;Rust,MySQL;PostgreSQL;SQLite,MongoDB;MySQL;PostgreSQL;SQLite,MySQL;PostgreSQL;SQLite,Heroku;Render,Render,Render,ASP.NET CORE;Django;Flask,Django;Flask;Htmx;Svelte,Django;Flask,NA,NA,NA,.NET (5+) ;SwiftUI,.NET (5+) ;Flutter;SwiftUI;Torch/PyTorch,.NET (5+) ;SwiftUI,APT;Docker;Homebrew;Pip,APT;Docker;Homebrew;Kubernetes;Pip;Terraform,APT;Docker;Homebrew;Pip,IntelliJ IDEA;Neovim;PyCharm;Rider;Visual Studio Code;Xcode,IntelliJ IDEA;Neovim;Rider;Visual Studio Code,IntelliJ IDEA;Neovim;Rider;Visual Studio Code,MacOS,Ubuntu,Markdown File;Notion;Obsidian,Markdown File;Notion;Obsidian,Markdown File;Notion;Obsidian,Discord;Microsoft Teams;Signal;Whatsapp,Discord;Matrix;Microsoft Teams;Signal;Slack,Discord;Microsoft Teams;Signal,ChatGPT,ChatGPT;Claude;GitHub Copilot,ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Favorable,Greater efficiency;Speed up learning,Somewhat trust,"Good, but not great at handling complex tasks",Project planning;Debugging and getting help;Search for answers,Learning about a codebase;Documenting code,,,Project planning;Search for answers,Debugging and getting help,,,No,Circulating misinformation or disinformation;Replacing jobs without options for new employment opportunities;Energy demand,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;We don’t have the right policies in place to reduce security risks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
52,I am a developer by profession,18-24 years old,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby;School or academic work;Freelance/contract work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum, online community);Friend or family member",Technical documentation;Written Tutorials;Stack Overflow;Social Media,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,8,3,"Developer, full-stack",NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Rust;SQL;TypeScript,BigQuery;Clickhouse;Cloud Firestore;Cosmos DB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Supabase,BigQuery;Clickhouse;Cloud Firestore;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;Snowflake;SQLite;Supabase,BigQuery;Clickhouse;Cloud Firestore;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite;Supabase,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Supabase,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Fly.io;Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI);Supabase;Vercel,Cloudflare;Firebase;Google Cloud;Microsoft Azure;Supabase,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js,ASP.NET;ASP.NET CORE;Astro;FastAPI;Htmx;Node.js;Nuxt.js;Solid.js;Svelte,ASP.NET;ASP.NET CORE;Node.js;Solid.js,LLVM's Clang,Arduino;LLVM's Clang;Rasberry Pi,LLVM's Clang,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Qt;React Native;Tauri,.NET (5+) ;CUDA;Tauri;Torch/PyTorch,.NET (5+) ;Tauri,Docker;Make;MSBuild;Pip;pnpm;Unity 3D;Vite;Webpack;Yarn,Docker;MSBuild;Pip;pnpm;Unity 3D;Unreal Engine;Vite,Docker;MSBuild;Pip;pnpm;Unity 3D;Vite,Visual Studio;Visual Studio Code,Helix;Vim;Visual Studio Code,Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),Azure Devops;Clickup;Lucid;Microsoft Planner,Azure Devops;Clickup;Lucid;Obsidian,Azure Devops;Clickup;Lucid,Discord;Microsoft Teams;Zoom,Discord;Signal;Slack,Discord,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI,ChatGPT;GitHub Copilot;Google Gemini;Visual Studio Intellicode;Whispr AI,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,Neutral,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat distrust,Very poor at handling complex tasks,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,Project planning,,Predictive analytics,Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Search for answers;Generating content or synthetic data,,,No,Missing or incorrect attribution for sources of data;Imitating a person's likeness,Don’t trust the output or answers;Lack of executive buy-in;Not everyone uses them;We don’t have the right policies in place to reduce security risks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
53,I am a developer by profession,18-24 years old,"Student, part-time;Employed, part-time","Hybrid (some remote, some in-person)",Apples,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Colleague;Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Blogs;Written Tutorials;Stack Overflow;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,7,1,"Developer, full-stack",NA,NA,NA,NA,NA,Germany,NA,NA,C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Cassandra;MySQL;Oracle;PostgreSQL;Supabase,MySQL;Oracle;PostgreSQL;Redis;Supabase,MySQL;Oracle;PostgreSQL;Supabase,Oracle Cloud Infrastructure (OCI);Supabase,Amazon Web Services (AWS);Cloudflare;Oracle Cloud Infrastructure (OCI);Supabase,Oracle Cloud Infrastructure (OCI);Supabase,Angular;AngularJS;Node.js;Spring Boot,Angular;AngularJS;Node.js;Spring Boot,Angular;AngularJS;Node.js;Spring Boot,Rasberry Pi,NA,NA,NA,NA,NA,Docker;Maven (build tool);npm,Docker;Kubernetes;Maven (build tool);npm;Terraform,Docker;Maven (build tool);npm,CLion;DataGrip;Fleet;IntelliJ IDEA;Vim,DataGrip;Goland;IntelliJ IDEA;Vim,DataGrip;IntelliJ IDEA;Vim,Windows;Windows Subsystem for Linux (WSL),Ubuntu;Windows;Windows Subsystem for Linux (WSL),Azure Devops;Confluence;Jira;Notion,Azure Devops;Confluence;Jira;Notion,Azure Devops;Confluence;Jira;Notion,Discord;IRC;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,Discord;Microsoft Teams;Whatsapp,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,GitHub Copilot;Google Gemini;WolframAlpha,GitHub Copilot;Google Gemini;WolframAlpha,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"No, not really",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,"Good, but not great at handling complex tasks",Writing code;Documenting code;Debugging and getting help;Testing code,Learning about a codebase;Predictive analytics,Project planning;Committing and reviewing code;Deployment and monitoring;Search for answers;Generating content or synthetic data,,Documenting code,Writing code;Debugging and getting help;Testing code,,,Yes,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
54,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media,NA,NA,8,6,"Developer, full-stack",NA,NA,NA,NA,NA,Bulgaria,NA,NA,C#;HTML/CSS;JavaScript;SQL,C#;JavaScript;SQL,C#;JavaScript;SQL,Microsoft SQL Server;Redis,Cosmos DB;Microsoft SQL Server;Redis,Microsoft SQL Server;Redis,NA,NA,NA,ASP.NET CORE;jQuery,Angular;ASP.NET CORE;Blazor,ASP.NET CORE,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,.NET (5+) ;.NET MAUI;RabbitMQ;TensorFlow,.NET (5+) ;RabbitMQ,MSBuild;Visual Studio Solution,Docker;MSBuild;Visual Studio Solution,MSBuild;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Confluence;Jira,Jira;Microsoft Planner;Stack Overflow for Teams,Jira,Microsoft Teams;Skype;Zoom,Microsoft Teams,Microsoft Teams,ChatGPT,ChatGPT;GitHub Copilot,ChatGPT,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,Quickly finding code solutions,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Never,10+ times a week,Never,30-60 minutes a day,60-120 minutes a day,Amount of technical debt;Number of software tools in use;Complexity of tech stack for deployment;Complexity of tech stack for build,Microservices,Hybrid (on-prem and cloud),Traditional public search engine,Fintech,20,5,10,15,5,10,20,10,5,Appropriate in length,Easy,NA,3
55,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Hobby,Some college/university study without earning a degree,"Other online resources (e.g., videos, blogs, forum, online community);Other (please specify):",Technical documentation;Written Tutorials;Stack Overflow;Social Media;Programming Games,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,18,8,"Developer, back-end",NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,JavaScript;Lua;PHP;Python;Rust;TypeScript,JavaScript;Lua;Python;TypeScript,Cloud Firestore;MariaDB;MySQL;Redis;SQLite,Cloud Firestore;MariaDB;SQLite,Cloud Firestore;MariaDB;SQLite,Cloudflare;Google Cloud;Managed Hosting,Cloudflare,Cloudflare,Express;jQuery;Laravel;Node.js,Express;Laravel;Node.js,Express;Laravel;Node.js,CMake;Rasberry Pi,Rasberry Pi,Rasberry Pi,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,Docker;Gradle;npm,npm;Unreal Engine,npm,Android Studio;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio Code,Android Studio;Notepad++;Visual Studio Code,Windows,Windows Subsystem for Linux (WSL),Trello,Trello,Trello,Discord;Microsoft Teams;Signal;Slack;Whatsapp;Zoom,Discord;Signal;Whatsapp,Discord;Signal;Whatsapp,Bing AI;ChatGPT,Bing AI,Bing AI,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,Neutral,"No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,8,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Never,Never,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use;Tracking my work,Automated testing;Microservices;Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,40,0,0,80,60,70,50,60,0,Too long,Easy,NA,7
56,"I am not primarily a developer, but I write code sometimes as part of my work/studies",55-64 years old,"Employed, full-time",In-person,Apples,Hobby;Professional development or self-paced learning from online courses,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification","Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base,29,24,Other (please specify):,NA,NA,NA,NA,NA,Germany,NA,NA,C;Go;Python;SQL,C;Go;OCaml;Python;Rust;SQL;Zig,C;Go;Python;SQL,DuckDB;SQLite,DuckDB;SQLite,DuckDB;SQLite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NumPy;Pandas,NumPy;Pandas,NumPy;Pandas,Homebrew;Make;Nix,Homebrew;Make;Nix,Homebrew;Make;Nix,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,Jupyter Notebook/JupyterLab;PyCharm;Visual Studio Code,MacOS;Ubuntu;Windows Subsystem for Linux (WSL),Windows,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stack Overflow;Overflow API,A few times per week,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
57,I code primarily as a hobby,Under 18 years old,I prefer not to say,NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Blogs;Written Tutorials;How-to videos,API document(s) and/or SDK document(s),4,NA,"Developer, full-stack",NA,NA,NA,NA,NA,Italy,NA,NA,C#;JavaScript;Lua,C#;JavaScript;Lua,C#;JavaScript;Lua,MongoDB;MySQL;PostgreSQL,MySQL,MySQL,Cloudflare;Netlify;Oracle Cloud Infrastructure (OCI),Cloudflare;Oracle Cloud Infrastructure (OCI),Cloudflare;Oracle Cloud Infrastructure (OCI),ASP.NET CORE;Express,ASP.NET CORE;Blazor;Express,ASP.NET CORE;Express,NA,NA,NA,.NET (5+) ,.NET (5+) ,.NET (5+) ,Webpack,Webpack,Webpack,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows;Windows Subsystem for Linux (WSL),Windows;Windows Subsystem for Linux (WSL),NA,NA,NA,Discord,Discord,Discord,Bing AI;ChatGPT,Bing AI;ChatGPT,Bing AI;ChatGPT,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
58,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification",Technical documentation;Blogs;Books;Written Tutorials;Stack Overflow;Social Media;How-to videos;Video-based Online Courses;Written-based Online Courses;Certification videos,API document(s) and/or SDK document(s);User guides or README files found in the source repository,6,2,"Developer, back-end",NA,NA,NA,NA,NA,Turkey,NA,NA,Python,Python,Python,PostgreSQL;SQLite,Elasticsearch;MongoDB;PostgreSQL,PostgreSQL,NA,NA,NA,FastAPI,FastAPI,FastAPI,NA,NA,NA,Apache Kafka;Ruff,Ruff,Ruff,Docker;Homebrew;Pip,Docker;Kubernetes,Docker,Visual Studio Code,Visual Studio Code,Visual Studio Code,MacOS,MacOS,Notion,Notion,Notion,Google Meet;Telegram,Google Meet;Telegram,Google Meet;Telegram,ChatGPT,GitHub Copilot,NA,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, but I plan to soon",Very unfavorable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Missing or incorrect attribution for sources of data;Biased results that do not represent diverse viewpoints;Imitating a person's likeness,NA,Yes,Individual contributor,1,Strongly agree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,NA,Never,10+ times a week,NA,30-60 minutes a day,NA,Amount of technical debt;Number of software tools in use;Complexity of tech stack for build,Microservices,Cloud only (single or multi-cloud),Traditional public search engine,Other:,10,100,0,100,0,0,0,0,0,Appropriate in length,Easy,NA,6
